k,group,value,n,events,prevalence,selection_rate,precision_at_k,precision_ci_low,precision_ci_high,recall_at_k,recall_ci_low,recall_ci_high,fnr_at_k,fnr_ci_low,fnr_ci_high,roc_auc,pr_auc
0.05,education_s,2.0,2060,275,0.13349514563106796,0.055825242718446605,0.2608695652173913,0.18609405475691687,0.35250737463126836,0.10909090909090909,0.07567657003564689,0.1497469719595155,0.8909090909090909,0.8502530280404845,0.924323429964353,0.6073705118411,0.18902487985689956
0.05,education_s,3.0,2361,320,0.1355357899195256,0.08555696738670054,0.29207920792079206,0.23073014422601995,0.3458055780024898,0.184375,0.14454277286135694,0.21689755154639173,0.815625,0.7831024484536082,0.855457227138643,0.6389453699167074,0.2199865964542544
0.05,education_s,4.0,2745,303,0.11038251366120219,0.03242258652094718,0.25842696629213485,0.17647058823529413,0.3660340089316386,0.07590759075907591,0.0515984015984016,0.1116736961868205,0.9240924092409241,0.8883263038131795,0.9484015984015983,0.6489263791243989,0.19892939776760066
0.05,education_s,5.0,1974,181,0.0916919959473151,0.02077001013171226,0.3170731707317073,0.16666666666666666,0.4647217607973422,0.0718232044198895,0.03468208092485549,0.11260155574762315,0.9281767955801105,0.8873984442523768,0.9653179190751445,0.6774195536355317,0.20356834310310062
0.05,gender_children,female_children,1961,241,0.12289648138704742,0.06017338092809791,0.288135593220339,0.20660919540229886,0.3659782608695652,0.14107883817427386,0.09936902026679469,0.18866086167051832,0.8589211618257262,0.8113391383294817,0.9006309797332053,0.6348294412814822,0.20845241627207844
0.05,gender_children,female_no_children,2213,297,0.1342069588793493,0.0745594215996385,0.3151515151515151,0.2450742132755765,0.3871699346405228,0.1750841750841751,0.13837561374795418,0.21699849219876752,0.8249158249158249,0.7830015078012325,0.8616243862520458,0.6489266358786192,0.23153396748807556
0.05,gender_children,not_coded_female_children,2526,246,0.09738717339667459,0.019002375296912115,0.3958333333333333,0.23809523809523808,0.5426177536231883,0.07723577235772358,0.04147941525905264,0.10967674574006013,0.9227642276422764,0.8903232542599399,0.9585205847409474,0.6685476394237626,0.20454903493874999
0.05,gender_children,not_coded_female_no_children,2553,320,0.12534273403838622,0.05170387779083431,0.21212121212121213,0.14539083797558375,0.2951058823529411,0.0875,0.057508833017563626,0.12135636236459534,0.9125,0.8786436376354047,0.9424911669824364,0.6346094099865651,0.18666343291987225
0.1,gender_group,female,4174,538,0.12889314805941543,0.12338284619070436,0.2543689320388349,0.2180482818986276,0.2928770348146388,0.24349442379182157,0.21015814709634936,0.2773853779429987,0.7565055762081785,0.7226146220570012,0.7898418529036506,0.6426168406803506,0.22039486623500004
0.1,gender_group,not_coded_female,5079,566,0.11143925969679071,0.08092144122858831,0.24574209245742093,0.20192816040280526,0.2872654322057897,0.1784452296819788,0.14751074034839926,0.2039902009781173,0.8215547703180213,0.7960097990218827,0.8524892596516007,0.6554723339484911,0.19006116977034698
